
Promedio1,Promedio2,PROMEDIO3,PROMEDIO4,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,ViveconMadre,ViveconPadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,Viudo,UnionLibre,NumGrado,Edad,Hombre,Mujer,Bajo,Intermedio,Notable,Alto
37.273,36.182,31.818,32.636,34.545,9,13,26,24,17,1 ,2,1,0,0,0,0,1,0,0,0,7,13,0,1,0,1,0,0
34.500,32.400,26.900,25.400,29.800,17,23,30,29,25,1 ,2,1,0,0,0,0,1,0,0,0,4,9,0,1,1,0,0,0
31.182,31.364,33.364,36.091,33.182,28,18,18,15,20,1 ,2,1,0,0,0,0,1,0,0,0,10,14,0,1,0,1,0,0
33.900,31.800,34.700,34.000,33.700,27,26,27,29,27,1 ,2,1,0,0,0,0,1,0,0,0,6,12,0,1,0,1,0,0
36.600,36.100,36.700,35.900,36.500,19,20,16,21,16,1 ,2,1,0,0,0,0,1,0,0,0,6,13,0,1,0,0,1,0
36.000,37.100,34.800,36.100,36.000,17,14,23,24,22,1 ,2,1,0,0,0,0,1,0,0,0,4,10,0,1,0,0,1,0
34.000,32.909,34.273,36.182,34.455,19,19,20,13,20,1 ,3,1,0,0,0,0,1,0,0,0,8,14,0,1,0,1,0,0
45.300,42.500,44.100,44.700,44.300,4,6,2,3,4,1 ,2,0,1,0,0,1,0,0,0,0,5,9,0,1,0,0,0,1
44.455,44.909,44.091,43.091,44.182,2,2,6,5,3,1 ,2,0,1,0,0,1,0,0,0,0,7,11,0,1,0,0,0,1
43.250,41.750,41.667,42.333,42.417,1,2,3,1,2,1 ,2,1,0,0,0,1,0,0,0,0,11,16,0,1,0,0,0,1
44.500,45.300,46.300,46.400,45.700,1,1,1,1,1,1 ,2,1,0,0,0,1,0,0,0,0,6,11,0,1,0,0,0,1
40.333,40.750,41.583,40.750,40.854,8,8,7,10,1,1 ,2,0,0,1,0,1,0,0,0,0,12,16,0,1,0,0,0,1
34.750,32.000,33.250,35.833,34.083,20,17,21,15,19,2 ,2,0,0,1,0,0,0,0,0,1,9,15,0,1,0,1,0,0
35.000,36.100,36.200,34.200,35.500,19,19,19,21,18,2 ,2,0,0,1,0,0,0,0,0,1,6,12,0,1,0,0,1,0
36.545,30.273,34.455,35.636,34.455,22,26,24,23,23,2 ,2,0,0,1,0,0,0,0,0,1,7,13,0,1,0,1,0,0
38.700,39.000,39.400,41.111,39.500,15,14,13,8,12,2 ,2,0,0,1,0,0,0,0,0,1,4,9,0,1,0,0,1,0
40.800,39.200,38.000,37.125,39.100,5,7,12,14,9,1 ,2,0,0,0,0,1,0,0,0,0,4,8,0,1,0,0,1,0
34.636,29.727,36.636,31.818,33.273,17,32,11,31,20,1 ,2,0,0,1,0,0,0,0,0,1,8,13,0,1,0,1,0,0
