
Grupo,PROMEDIO1,PROMEDIO2,PROMEDIO3,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,Viveconmadre,Viveconpadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,UnionLibre,Viudo,RetiradoCluster,Numgrado,Edad,Hombre,Mujer
2 ,35.700,36.500,39.800,38.700,16,20,10,6,11,3 ,2,1,0,0,0,0,0,1,0,0,0,6,10,1,0
4 ,33.182,33.727,32.364,33.818,20,17,16,15,15,3 ,2,1,0,0,0,0,0,1,0,0,0,8,13,1,0
3 ,34.800,32.800,34.700,34.800,24,24,27,21,25,1 ,1,1,0,0,0,0,1,0,0,0,0,5,13,1,0
2 ,33.750,35.167,.000,.000,23,17,1,18,0,1 ,1,1,0,0,0,0,1,0,0,0,0,10,18,1,0
4 ,34.273,31.273,34.455,33.545,20,25,19,27,23,1 ,1,1,0,0,0,0,1,0,0,0,0,7,14,1,0
2 ,35.800,34.900,35.400,35.500,23,23,18,23,24,1 ,2,0,0,1,0,0,0,0,1,0,0,5,10,0,1
5 ,42.250,40.417,41.500,.000,7,8,7,6,1,3 ,2,0,0,1,0,1,0,0,0,0,0,11,17,0,1
3 ,36.167,34.167,37.583,35.667,14,14,12,21,15,1 ,2,1,0,0,0,0,0,1,0,0,0,9,15,0,1
1 ,38.000,37.818,34.182,36.545,20,18,27,25,24,1 ,2,1,0,0,0,0,0,1,0,0,0,3,8,0,1
1 ,32.545,36.909,35.455,35.364,21,4,9,12,8,1 ,2,1,0,0,0,0,0,1,0,0,0,7,14,0,1
1 ,34.800,32.800,34.700,34.800,24,24,27,21,25,1 ,1,1,0,0,0,0,1,0,0,0,0,6,13,1,0
2 ,34.600,32.800,36.000,35.000,20,24,20,18,20,1 ,1,1,0,0,0,0,1,0,0,0,0,6,12,1,0
3 ,32.500,27.167,6.000,30.083,27,25,31,1,25,1 ,2,0,0,1,0,0,0,0,1,0,1,9,15,0,1
2 ,36.800,39.500,35.800,38.100,19,13,24,11,17,1 ,2,0,0,1,0,0,0,0,1,0,0,4,9,0,1
1 ,45.636,41.182,41.545,43.091,4,11,8,7,7,3 ,2,0,0,1,0,1,0,0,0,0,0,3,8,0,1
2 ,35.091,33.455,29.818,32.727,25,30,31,33,30,3 ,2,0,0,1,0,1,0,0,0,0,0,8,13,0,1
7 ,35.455,35.091,35.727,35.909,13,16,11,8,12,1 ,2,1,0,0,0,0,0,1,0,0,0,9,13,0,1
2 ,37.250,34.333,34.250,34.500,7,17,15,24,15,4 ,2,0,0,1,0,1,0,0,0,0,0,9,15,1,0
3 ,39.750,41.917,40.833,40.917,3,2,2,1,2,4 ,2,0,0,1,0,1,0,0,0,0,0,3,14,1,0
2 ,33.250,31.750,.000,.000,31,32,1,33,0,4 ,2,0,0,1,0,1,0,0,0,0,0,12,19,1,0
4 ,37.833,40.833,39.250,39.083,8,4,5,7,4,1 ,2,0,0,1,0,0,0,0,1,0,0,9,14,0,1
1 ,46.000,45.364,42.727,44.818,2,2,7,2,2,1 ,2,0,0,1,0,0,0,0,1,0,0,3,8,0,1
3 ,43.100,43.300,44.000,43.500,9,8,4,5,7,1 ,2,0,0,1,0,0,0,0,1,0,0,4,9,0,1
3 ,36.167,33.750,30.500,.000,16,22,24,24,1,3 ,2,0,0,1,0,1,0,0,0,0,0,10,18,1,0
4 ,34.455,35.909,35.545,36.364,20,14,12,4,10,3 ,2,0,0,1,0,1,0,0,0,0,0,7,14,1,0
1 ,34.545,36.545,35.182,36.091,26,18,23,19,22,1 ,2,0,1,0,0,0,0,0,1,0,0,7,12,1,0
1 ,35.400,35.600,38.400,37.500,25,22,17,17,21,1 ,2,1,0,0,0,0,0,0,1,0,0,2,8,0,1
3 ,36.700,36.600,35.400,36.300,19,19,15,18,21,1 ,3,0,0,1,0,0,0,0,1,0,0,5,11,0,1
1 ,35.500,38.400,40.800,38.800,24,18,11,11,17,1 ,3,0,0,1,0,0,0,0,1,0,0,2,7,0,1
4 ,38.818,40.545,37.091,37.273,5,2,6,23,7,1 ,3,0,0,1,0,0,0,0,1,0,0,7,13,0,1
5 ,32.833,33.500,36.000,35.000,18,16,14,13,13,2 ,2,0,0,1,0,1,0,0,0,0,0,10,14,1,0
4 ,34.333,32.417,33.083,33.250,18,20,20,18,18,2 ,2,0,0,1,0,1,0,0,0,0,0,9,13,1,0
2 ,33.200,32.500,36.300,34.900,26,23,22,15,25,2 ,2,0,0,1,0,1,0,0,0,0,0,4,8,1,0
2 ,35.417,35.667,36.083,.000,21,22,23,23,1,2 ,2,0,0,1,0,1,0,0,0,0,0,12,16,1,0
1 ,31.200,34.100,36.400,35.500,30,27,27,15,27,2 ,2,0,1,0,0,0,0,0,1,0,0,5,11,1,0
3 ,31.400,31.000,34.800,32.300,32,28,26,31,29,2 ,2,0,1,0,0,0,0,0,1,0,0,5,12,1,0
3 ,42.833,39.833,.000,.000,7,9,1,9,0,2 ,2,0,1,0,0,0,0,0,1,0,0,10,17,1,0
1 ,31.400,31.000,34.800,32.300,32,28,26,31,29,2 ,2,0,1,0,0,0,0,0,1,0,0,6,12,1,0
3 ,35.400,35.600,37.300,36.200,20,24,23,22,25,2 ,2,0,1,0,0,0,0,0,1,0,0,6,13,1,0
3 ,30.818,33.545,35.091,34.273,20,14,12,7,13,2 ,2,0,1,0,0,0,0,0,1,0,0,8,15,1,0
3 ,44.600,43.500,44.600,44.100,2,3,2,4,2,0 ,2,0,0,1,0,0,0,0,1,0,0,5,11,1,0
1 ,44.600,43.500,44.600,44.100,2,3,2,4,2,0 ,2,0,0,1,0,0,0,0,1,0,0,6,11,1,0
3 ,33.900,36.400,33.500,34.900,25,19,23,23,22,1 ,2,0,0,1,0,0,0,0,1,0,0,6,11,0,1
1 ,38.455,36.000,39.000,38.273,18,24,17,16,19,1 ,2,0,0,1,0,0,0,0,1,0,0,3,8,0,1
5 ,39.083,39.333,35.083,37.583,7,5,14,14,9,3 ,2,0,0,1,0,1,0,0,0,0,0,10,16,0,1
1 ,39.700,37.200,34.900,37.800,9,17,18,11,15,3 ,2,0,0,1,0,1,0,0,0,0,0,6,11,0,1
4 ,39.000,39.091,36.818,38.273,9,8,9,11,8,3 ,2,0,0,1,0,1,0,0,0,0,0,8,12,0,1
1 ,39.000,39.091,36.818,38.273,9,8,9,11,8,3 ,2,0,0,1,0,1,0,0,0,0,0,7,12,0,1
1 ,41.000,40.800,40.600,40.900,4,5,5,5,5,3 ,2,0,0,1,0,1,0,0,0,0,0,4,9,0,1
4 ,38.909,38.917,35.833,38.167,11,9,12,9,11,1 ,2,1,0,0,0,0,0,1,0,0,1,10,16,0,1
1 ,37.000,39.600,40.000,39.500,19,14,12,13,16,1 ,2,1,0,0,0,0,0,1,0,0,0,2,7,0,1
